31.1515 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
107.4713 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
117.9912 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000193B1F9DE80>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000193B4E5C640>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
117.9914 	EXP 	window1: mouseVisible = True
117.9916 	EXP 	window1: mouseVisible = False
117.9916 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
117.9916 	EXP 	window1: recordFrameIntervals = False
118.1568 	EXP 	window1: recordFrameIntervals = True
118.3409 	EXP 	Screen (0) actual frame rate measured at 60.05Hz
118.3409 	EXP 	window1: recordFrameIntervals = False
123.1349 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
123.2185 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
123.2199 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
123.2205 	EXP 	New trial (rep=0, index=0): None
123.2675 	EXP 	grating: ori = -5.0
123.2675 	EXP 	fixation: autoDraw = True
124.2824 	EXP 	grating: autoDraw = True
124.2824 	EXP 	grating: tex = 'sin'
124.2865 	EXP 	fixation: autoDraw = False
124.5895 	EXP 	grating: autoDraw = False
124.8752 	EXP 	New trial (rep=1, index=0): None
124.8765 	DATA 	Keypress: up
124.8891 	EXP 	fixation: autoDraw = False
124.8891 	EXP 	grating: autoDraw = False
124.8891 	EXP 	grating: ori = -3.0
124.8891 	EXP 	fixation: autoDraw = True
125.8891 	EXP 	fixation: autoDraw = False
125.8891 	EXP 	grating: autoDraw = True
126.1884 	EXP 	grating: autoDraw = False
126.4912 	EXP 	New trial (rep=2, index=0): None
126.4927 	DATA 	Keypress: up
126.5049 	EXP 	fixation: autoDraw = False
126.5049 	EXP 	grating: autoDraw = False
126.5049 	EXP 	grating: ori = 0.0
126.5049 	EXP 	fixation: autoDraw = True
127.5053 	EXP 	fixation: autoDraw = False
127.5053 	EXP 	grating: autoDraw = True
127.8051 	EXP 	grating: autoDraw = False
128.0237 	EXP 	New trial (rep=3, index=0): None
128.0248 	DATA 	Keypress: up
128.0384 	EXP 	fixation: autoDraw = False
128.0384 	EXP 	grating: autoDraw = False
128.0384 	EXP 	grating: ori = -5.0
128.0384 	EXP 	fixation: autoDraw = True
129.0384 	EXP 	fixation: autoDraw = False
129.0384 	EXP 	grating: autoDraw = True
129.3376 	EXP 	grating: autoDraw = False
129.3898 	EXP 	New trial (rep=4, index=0): None
129.3910 	DATA 	Keypress: up
129.4046 	EXP 	fixation: autoDraw = False
129.4046 	EXP 	grating: autoDraw = False
129.4046 	EXP 	grating: ori = 0.0
129.4046 	EXP 	fixation: autoDraw = True
130.4044 	EXP 	fixation: autoDraw = False
130.4044 	EXP 	grating: autoDraw = True
130.7039 	EXP 	grating: autoDraw = False
130.7061 	EXP 	New trial (rep=5, index=0): None
130.7070 	DATA 	Keypress: up
130.7210 	EXP 	fixation: autoDraw = False
130.7210 	EXP 	grating: autoDraw = False
130.7210 	EXP 	grating: ori = 0.0
130.7210 	EXP 	fixation: autoDraw = True
131.7206 	EXP 	fixation: autoDraw = False
131.7206 	EXP 	grating: autoDraw = True
132.0206 	EXP 	grating: autoDraw = False
132.0397 	EXP 	New trial (rep=6, index=0): None
132.0406 	DATA 	Keypress: up
132.0542 	EXP 	fixation: autoDraw = False
132.0542 	EXP 	grating: autoDraw = False
132.0542 	EXP 	grating: ori = 1.0
132.0542 	EXP 	fixation: autoDraw = True
133.0537 	EXP 	fixation: autoDraw = False
133.0537 	EXP 	grating: autoDraw = True
133.3536 	EXP 	grating: autoDraw = False
133.4227 	EXP 	New trial (rep=7, index=0): None
133.4239 	DATA 	Keypress: up
133.4368 	EXP 	fixation: autoDraw = False
133.4368 	EXP 	grating: autoDraw = False
133.4368 	EXP 	grating: ori = 0.0
133.4368 	EXP 	fixation: autoDraw = True
134.4366 	EXP 	fixation: autoDraw = False
134.4366 	EXP 	grating: autoDraw = True
134.7366 	EXP 	grating: autoDraw = False
134.7391 	EXP 	New trial (rep=8, index=0): None
134.7406 	DATA 	Keypress: up
134.7535 	EXP 	fixation: autoDraw = False
134.7535 	EXP 	grating: autoDraw = False
134.7535 	EXP 	grating: ori = 0.0
134.7535 	EXP 	fixation: autoDraw = True
135.7530 	EXP 	fixation: autoDraw = False
135.7530 	EXP 	grating: autoDraw = True
136.0221 	EXP 	New trial (rep=9, index=0): None
136.0232 	DATA 	Keypress: up
136.0357 	EXP 	fixation: autoDraw = False
136.0357 	EXP 	grating: autoDraw = False
136.0357 	EXP 	grating: ori = -3.0
136.0357 	EXP 	fixation: autoDraw = True
137.0363 	EXP 	fixation: autoDraw = False
137.0363 	EXP 	grating: autoDraw = True
137.3361 	EXP 	grating: autoDraw = False
139.4213 	EXP 	New trial (rep=10, index=0): None
139.4224 	DATA 	Keypress: down
139.4355 	EXP 	fixation: autoDraw = False
139.4355 	EXP 	grating: autoDraw = False
139.4355 	EXP 	grating: ori = 0.0
139.4355 	EXP 	fixation: autoDraw = True
140.4352 	EXP 	fixation: autoDraw = False
140.4352 	EXP 	grating: autoDraw = True
140.7351 	EXP 	grating: autoDraw = False
141.0370 	EXP 	New trial (rep=11, index=0): None
141.0378 	DATA 	Keypress: up
141.0516 	EXP 	fixation: autoDraw = False
141.0516 	EXP 	grating: autoDraw = False
141.0516 	EXP 	grating: ori = 0.0
141.0516 	EXP 	fixation: autoDraw = True
142.0512 	EXP 	fixation: autoDraw = False
142.0512 	EXP 	grating: autoDraw = True
142.3510 	EXP 	grating: autoDraw = False
142.3888 	EXP 	New trial (rep=12, index=0): None
142.3901 	DATA 	Keypress: up
142.4016 	EXP 	fixation: autoDraw = False
142.4016 	EXP 	grating: autoDraw = False
142.4016 	EXP 	grating: ori = 1.0
142.4016 	EXP 	fixation: autoDraw = True
143.4007 	EXP 	fixation: autoDraw = False
143.4007 	EXP 	grating: autoDraw = True
143.7007 	EXP 	grating: autoDraw = False
143.7546 	EXP 	New trial (rep=13, index=0): None
143.7561 	DATA 	Keypress: up
143.7679 	EXP 	fixation: autoDraw = False
143.7679 	EXP 	grating: autoDraw = False
143.7679 	EXP 	grating: ori = 0.0
143.7679 	EXP 	fixation: autoDraw = True
144.7677 	EXP 	fixation: autoDraw = False
144.7677 	EXP 	grating: autoDraw = True
145.0673 	EXP 	grating: autoDraw = False
145.1534 	EXP 	New trial (rep=14, index=0): None
145.1548 	DATA 	Keypress: up
145.1675 	EXP 	fixation: autoDraw = False
145.1675 	EXP 	grating: autoDraw = False
145.1675 	EXP 	grating: ori = 0.0
145.1675 	EXP 	fixation: autoDraw = True
146.1673 	EXP 	fixation: autoDraw = False
146.1673 	EXP 	grating: autoDraw = True
146.4527 	EXP 	New trial (rep=15, index=0): None
146.4541 	DATA 	Keypress: up
146.4672 	EXP 	grating: autoDraw = False
146.4672 	EXP 	fixation: autoDraw = False
146.4672 	EXP 	grating: autoDraw = False
146.4672 	EXP 	grating: ori = -3.0
146.4672 	EXP 	fixation: autoDraw = True
147.4665 	EXP 	fixation: autoDraw = False
147.4665 	EXP 	grating: autoDraw = True
147.7663 	EXP 	grating: autoDraw = False
147.7686 	EXP 	New trial (rep=16, index=0): None
147.7699 	DATA 	Keypress: up
147.7835 	EXP 	fixation: autoDraw = False
147.7835 	EXP 	grating: autoDraw = False
147.7835 	EXP 	grating: ori = 0.0
147.7835 	EXP 	fixation: autoDraw = True
148.7830 	EXP 	fixation: autoDraw = False
148.7830 	EXP 	grating: autoDraw = True
149.0829 	EXP 	grating: autoDraw = False
149.1683 	EXP 	New trial (rep=17, index=0): None
149.1693 	DATA 	Keypress: down
149.1833 	EXP 	fixation: autoDraw = False
149.1833 	EXP 	grating: autoDraw = False
149.1833 	EXP 	grating: ori = 0.0
149.1833 	EXP 	fixation: autoDraw = True
150.1830 	EXP 	fixation: autoDraw = False
150.1830 	EXP 	grating: autoDraw = True
150.4361 	EXP 	New trial (rep=18, index=0): None
150.4377 	DATA 	Keypress: up
150.4495 	EXP 	fixation: autoDraw = False
150.4495 	EXP 	grating: autoDraw = False
150.4495 	EXP 	grating: ori = 0.0
150.4495 	EXP 	fixation: autoDraw = True
151.4492 	EXP 	fixation: autoDraw = False
151.4492 	EXP 	grating: autoDraw = True
151.6181 	EXP 	New trial (rep=19, index=0): None
151.6190 	DATA 	Keypress: up
151.6325 	EXP 	fixation: autoDraw = False
151.6325 	EXP 	grating: autoDraw = False
151.6325 	EXP 	grating: ori = 0.0
151.6325 	EXP 	fixation: autoDraw = True
152.6321 	EXP 	fixation: autoDraw = False
152.6321 	EXP 	grating: autoDraw = True
152.8841 	EXP 	New trial (rep=20, index=0): None
152.8851 	DATA 	Keypress: up
152.8988 	EXP 	fixation: autoDraw = False
152.8988 	EXP 	grating: autoDraw = False
152.8988 	EXP 	grating: ori = -3.0
152.8988 	EXP 	fixation: autoDraw = True
153.8986 	EXP 	fixation: autoDraw = False
153.8986 	EXP 	grating: autoDraw = True
154.1985 	EXP 	grating: autoDraw = False
154.2168 	EXP 	New trial (rep=21, index=0): None
154.2179 	DATA 	Keypress: up
154.2314 	EXP 	fixation: autoDraw = False
154.2314 	EXP 	grating: autoDraw = False
154.2314 	EXP 	grating: ori = -1.0
154.2314 	EXP 	fixation: autoDraw = True
155.2316 	EXP 	fixation: autoDraw = False
155.2316 	EXP 	grating: autoDraw = True
155.5314 	EXP 	grating: autoDraw = False
155.6667 	EXP 	New trial (rep=22, index=0): None
155.6678 	DATA 	Keypress: up
155.6812 	EXP 	fixation: autoDraw = False
155.6812 	EXP 	grating: autoDraw = False
155.6812 	EXP 	grating: ori = 0.0
155.6812 	EXP 	fixation: autoDraw = True
156.6809 	EXP 	fixation: autoDraw = False
156.6809 	EXP 	grating: autoDraw = True
156.9811 	EXP 	grating: autoDraw = False
157.0002 	EXP 	New trial (rep=23, index=0): None
157.0014 	DATA 	Keypress: up
157.0143 	EXP 	fixation: autoDraw = False
157.0143 	EXP 	grating: autoDraw = False
157.0143 	EXP 	grating: ori = 0.0
157.0143 	EXP 	fixation: autoDraw = True
158.0145 	EXP 	fixation: autoDraw = False
158.0145 	EXP 	grating: autoDraw = True
158.3139 	EXP 	grating: autoDraw = False
158.4004 	EXP 	New trial (rep=24, index=0): None
158.4015 	DATA 	Keypress: up
158.4142 	EXP 	fixation: autoDraw = False
158.4142 	EXP 	grating: autoDraw = False
158.4142 	EXP 	grating: ori = -1.0
158.4142 	EXP 	fixation: autoDraw = True
159.4140 	EXP 	fixation: autoDraw = False
159.4140 	EXP 	grating: autoDraw = True
159.7141 	EXP 	grating: autoDraw = False
159.7164 	EXP 	New trial (rep=25, index=0): None
159.7173 	DATA 	Keypress: up
159.7302 	EXP 	fixation: autoDraw = False
159.7302 	EXP 	grating: autoDraw = False
159.7302 	EXP 	grating: ori = 0.0
159.7302 	EXP 	fixation: autoDraw = True
160.7300 	EXP 	fixation: autoDraw = False
160.7300 	EXP 	grating: autoDraw = True
161.0299 	EXP 	grating: autoDraw = False
161.0488 	EXP 	New trial (rep=26, index=0): None
161.0499 	DATA 	Keypress: up
161.0633 	EXP 	fixation: autoDraw = False
161.0633 	EXP 	grating: autoDraw = False
161.0633 	EXP 	grating: ori = -5.0
161.0633 	EXP 	fixation: autoDraw = True
162.0636 	EXP 	fixation: autoDraw = False
162.0636 	EXP 	grating: autoDraw = True
162.1659 	EXP 	New trial (rep=27, index=0): None
162.1672 	DATA 	Keypress: up
162.1795 	EXP 	fixation: autoDraw = False
162.1795 	EXP 	grating: autoDraw = False
162.1795 	EXP 	grating: ori = 0.0
162.1795 	EXP 	fixation: autoDraw = True
163.1802 	EXP 	fixation: autoDraw = False
163.1802 	EXP 	grating: autoDraw = True
163.4798 	EXP 	grating: autoDraw = False
163.6153 	EXP 	New trial (rep=28, index=0): None
163.6167 	DATA 	Keypress: down
163.6293 	EXP 	fixation: autoDraw = False
163.6293 	EXP 	grating: autoDraw = False
163.6293 	EXP 	grating: ori = 0.0
163.6293 	EXP 	fixation: autoDraw = True
164.6295 	EXP 	fixation: autoDraw = False
164.6295 	EXP 	grating: autoDraw = True
164.9289 	EXP 	grating: autoDraw = False
165.1640 	EXP 	New trial (rep=29, index=0): None
165.1651 	DATA 	Keypress: up
165.1788 	EXP 	fixation: autoDraw = False
165.1788 	EXP 	grating: autoDraw = False
165.1788 	EXP 	grating: ori = 0.0
165.1788 	EXP 	fixation: autoDraw = True
166.1787 	EXP 	fixation: autoDraw = False
166.1787 	EXP 	grating: autoDraw = True
166.4783 	EXP 	grating: autoDraw = False
166.6642 	EXP 	New trial (rep=30, index=0): None
166.6653 	DATA 	Keypress: up
166.6789 	EXP 	fixation: autoDraw = False
166.6789 	EXP 	grating: autoDraw = False
166.6789 	EXP 	grating: ori = -2.0
166.6789 	EXP 	fixation: autoDraw = True
167.6791 	EXP 	fixation: autoDraw = False
167.6791 	EXP 	grating: autoDraw = True
167.9781 	EXP 	grating: autoDraw = False
167.9800 	EXP 	New trial (rep=31, index=0): None
167.9809 	DATA 	Keypress: up
167.9951 	EXP 	fixation: autoDraw = False
167.9951 	EXP 	grating: autoDraw = False
167.9951 	EXP 	grating: ori = 0.0
167.9951 	EXP 	fixation: autoDraw = True
168.9946 	EXP 	fixation: autoDraw = False
168.9946 	EXP 	grating: autoDraw = True
169.2947 	EXP 	grating: autoDraw = False
169.3965 	EXP 	New trial (rep=32, index=0): None
169.3973 	DATA 	Keypress: up
169.4112 	EXP 	fixation: autoDraw = False
169.4112 	EXP 	grating: autoDraw = False
169.4112 	EXP 	grating: ori = -3.0
169.4112 	EXP 	fixation: autoDraw = True
170.4108 	EXP 	fixation: autoDraw = False
170.4108 	EXP 	grating: autoDraw = True
170.7105 	EXP 	grating: autoDraw = False
171.0129 	EXP 	New trial (rep=33, index=0): None
171.0138 	DATA 	Keypress: down
171.0281 	EXP 	fixation: autoDraw = False
171.0281 	EXP 	grating: autoDraw = False
171.0281 	EXP 	grating: ori = 0.0
171.0281 	EXP 	fixation: autoDraw = True
172.0278 	EXP 	fixation: autoDraw = False
172.0278 	EXP 	grating: autoDraw = True
172.3274 	EXP 	grating: autoDraw = False
172.4289 	EXP 	New trial (rep=34, index=0): None
172.4298 	DATA 	Keypress: up
172.4438 	EXP 	fixation: autoDraw = False
172.4438 	EXP 	grating: autoDraw = False
172.4438 	EXP 	grating: ori = 0.0
172.4438 	EXP 	fixation: autoDraw = True
173.4438 	EXP 	fixation: autoDraw = False
173.4438 	EXP 	grating: autoDraw = True
173.7293 	EXP 	New trial (rep=35, index=0): None
173.7303 	DATA 	Keypress: up
173.7436 	EXP 	grating: autoDraw = False
173.7436 	EXP 	fixation: autoDraw = False
173.7436 	EXP 	grating: autoDraw = False
173.7436 	EXP 	grating: ori = -3.0
173.7436 	EXP 	fixation: autoDraw = True
174.7436 	EXP 	fixation: autoDraw = False
174.7436 	EXP 	grating: autoDraw = True
175.0434 	EXP 	grating: autoDraw = False
175.0787 	EXP 	New trial (rep=36, index=0): None
175.0796 	DATA 	Keypress: up
175.0931 	EXP 	fixation: autoDraw = False
175.0931 	EXP 	grating: autoDraw = False
175.0931 	EXP 	grating: ori = 3.0
175.0931 	EXP 	fixation: autoDraw = True
176.0927 	EXP 	fixation: autoDraw = False
176.0927 	EXP 	grating: autoDraw = True
176.3928 	EXP 	grating: autoDraw = False
176.4944 	EXP 	New trial (rep=37, index=0): None
176.4956 	DATA 	Keypress: up
176.5092 	EXP 	fixation: autoDraw = False
176.5092 	EXP 	grating: autoDraw = False
176.5092 	EXP 	grating: ori = 0.0
176.5092 	EXP 	fixation: autoDraw = True
177.5088 	EXP 	fixation: autoDraw = False
177.5088 	EXP 	grating: autoDraw = True
177.8085 	EXP 	grating: autoDraw = False
178.2275 	EXP 	New trial (rep=38, index=0): None
178.2285 	DATA 	Keypress: up
178.2422 	EXP 	fixation: autoDraw = False
178.2422 	EXP 	grating: autoDraw = False
178.2422 	EXP 	grating: ori = -4.0
178.2422 	EXP 	fixation: autoDraw = True
179.2419 	EXP 	fixation: autoDraw = False
179.2419 	EXP 	grating: autoDraw = True
179.5422 	EXP 	grating: autoDraw = False
179.6113 	EXP 	New trial (rep=39, index=0): None
179.6126 	DATA 	Keypress: down
179.6251 	EXP 	fixation: autoDraw = False
179.6251 	EXP 	grating: autoDraw = False
179.6251 	EXP 	grating: ori = -4.0
179.6251 	EXP 	fixation: autoDraw = True
180.6253 	EXP 	fixation: autoDraw = False
180.6253 	EXP 	grating: autoDraw = True
180.9251 	EXP 	grating: autoDraw = False
181.2932 	EXP 	New trial (rep=40, index=0): None
181.2941 	DATA 	Keypress: down
181.3081 	EXP 	fixation: autoDraw = False
181.3081 	EXP 	grating: autoDraw = False
181.3081 	EXP 	grating: ori = -3.0
181.3081 	EXP 	fixation: autoDraw = True
182.3082 	EXP 	fixation: autoDraw = False
182.3082 	EXP 	grating: autoDraw = True
182.6076 	EXP 	grating: autoDraw = False
182.7101 	EXP 	New trial (rep=41, index=0): None
182.7110 	DATA 	Keypress: down
182.7246 	EXP 	fixation: autoDraw = False
182.7246 	EXP 	grating: autoDraw = False
182.7246 	EXP 	grating: ori = 0.0
182.7246 	EXP 	fixation: autoDraw = True
183.7244 	EXP 	fixation: autoDraw = False
183.7244 	EXP 	grating: autoDraw = True
184.0241 	EXP 	grating: autoDraw = False
184.3431 	EXP 	New trial (rep=42, index=0): None
184.3446 	DATA 	Keypress: up
184.3576 	EXP 	fixation: autoDraw = False
184.3576 	EXP 	grating: autoDraw = False
184.3576 	EXP 	grating: ori = 4.0
184.3576 	EXP 	fixation: autoDraw = True
185.3577 	EXP 	fixation: autoDraw = False
185.3577 	EXP 	grating: autoDraw = True
185.6571 	EXP 	grating: autoDraw = False
185.7930 	EXP 	New trial (rep=43, index=0): None
185.7941 	DATA 	Keypress: down
185.8072 	EXP 	fixation: autoDraw = False
185.8072 	EXP 	grating: autoDraw = False
185.8072 	EXP 	grating: ori = 0.0
185.8072 	EXP 	fixation: autoDraw = True
186.8072 	EXP 	fixation: autoDraw = False
186.8072 	EXP 	grating: autoDraw = True
187.1072 	EXP 	grating: autoDraw = False
187.4924 	EXP 	New trial (rep=44, index=0): None
187.4934 	DATA 	Keypress: up
187.5062 	EXP 	fixation: autoDraw = False
187.5062 	EXP 	grating: autoDraw = False
187.5062 	EXP 	grating: ori = 0.0
187.5062 	EXP 	fixation: autoDraw = True
188.5064 	EXP 	fixation: autoDraw = False
188.5064 	EXP 	grating: autoDraw = True
188.8065 	EXP 	grating: autoDraw = False
189.1092 	EXP 	New trial (rep=45, index=0): None
189.1102 	DATA 	Keypress: up
189.1228 	EXP 	fixation: autoDraw = False
189.1228 	EXP 	grating: autoDraw = False
189.1228 	EXP 	grating: ori = 0.0
189.1228 	EXP 	fixation: autoDraw = True
190.1228 	EXP 	fixation: autoDraw = False
190.1228 	EXP 	grating: autoDraw = True
190.4224 	EXP 	grating: autoDraw = False
190.7581 	EXP 	New trial (rep=46, index=0): None
190.7592 	DATA 	Keypress: up
190.7722 	EXP 	fixation: autoDraw = False
190.7722 	EXP 	grating: autoDraw = False
190.7722 	EXP 	grating: ori = 0.0
190.7722 	EXP 	fixation: autoDraw = True
191.7725 	EXP 	fixation: autoDraw = False
191.7725 	EXP 	grating: autoDraw = True
192.0720 	EXP 	grating: autoDraw = False
192.3244 	EXP 	New trial (rep=47, index=0): None
192.3253 	DATA 	Keypress: up
192.3392 	EXP 	fixation: autoDraw = False
192.3392 	EXP 	grating: autoDraw = False
192.3392 	EXP 	grating: ori = 3.0
192.3392 	EXP 	fixation: autoDraw = True
193.3384 	EXP 	fixation: autoDraw = False
193.3384 	EXP 	grating: autoDraw = True
193.6387 	EXP 	grating: autoDraw = False
194.1410 	EXP 	New trial (rep=48, index=0): None
194.1423 	DATA 	Keypress: down
194.1547 	EXP 	fixation: autoDraw = False
194.1547 	EXP 	grating: autoDraw = False
194.1547 	EXP 	grating: ori = 0.0
194.1547 	EXP 	fixation: autoDraw = True
195.1549 	EXP 	fixation: autoDraw = False
195.1549 	EXP 	grating: autoDraw = True
195.4543 	EXP 	grating: autoDraw = False
195.5412 	EXP 	New trial (rep=49, index=0): None
195.5424 	DATA 	Keypress: up
195.5544 	EXP 	fixation: autoDraw = False
195.5544 	EXP 	grating: autoDraw = False
195.5544 	EXP 	grating: ori = 1.0
195.5544 	EXP 	fixation: autoDraw = True
196.5552 	EXP 	fixation: autoDraw = False
196.5552 	EXP 	grating: autoDraw = True
196.8541 	EXP 	grating: autoDraw = False
197.0066 	EXP 	New trial (rep=50, index=0): None
197.0077 	DATA 	Keypress: up
197.0210 	EXP 	fixation: autoDraw = False
197.0210 	EXP 	grating: autoDraw = False
197.0210 	EXP 	grating: ori = 1.0
197.0210 	EXP 	fixation: autoDraw = True
198.0202 	EXP 	fixation: autoDraw = False
198.0202 	EXP 	grating: autoDraw = True
198.3211 	EXP 	grating: autoDraw = False
198.3727 	EXP 	New trial (rep=51, index=0): None
198.3736 	DATA 	Keypress: up
198.3876 	EXP 	fixation: autoDraw = False
198.3876 	EXP 	grating: autoDraw = False
198.3876 	EXP 	grating: ori = 4.0
198.3876 	EXP 	fixation: autoDraw = True
199.3876 	EXP 	fixation: autoDraw = False
199.3876 	EXP 	grating: autoDraw = True
199.6872 	EXP 	grating: autoDraw = False
200.0559 	EXP 	New trial (rep=52, index=0): None
200.0569 	DATA 	Keypress: down
200.0701 	EXP 	fixation: autoDraw = False
200.0701 	EXP 	grating: autoDraw = False
200.0701 	EXP 	grating: ori = 3.0
200.0701 	EXP 	fixation: autoDraw = True
201.0703 	EXP 	fixation: autoDraw = False
201.0703 	EXP 	grating: autoDraw = True
201.3697 	EXP 	grating: autoDraw = False
